page_unit,domain,risk,title,tags,terms,learning_focus
021,Mental Health Communication,high-review,Page Unit 021: 精神健康與溝通 / Mental Health Communication,therapeutic_communication; mental_health; safety,therapeutic communication; false reassurance; suicidal ideation; reflection; open-ended question,治療性溝通不是日常安慰。遇到自傷他傷風險，直接評估安全；遇到妄想，不爭辯也不強化妄想。
022,Safety and Infection Control,high-review,Page Unit 022: 安全與感染控制 / Safety and Infection Control,safety_infection; cue_recognition,standard precautions; airborne; contact; aspiration; sepsis,安全題先問 harm 來源：跌倒、誤吸、出血、感染傳播、低氧、敗血症或管路損傷。感染控制先問傳播途徑。
023,NGN Case Reasoning,high-review,Page Unit 023: NGN 病例推理 / NGN Case Reasoning,ngn; clinical_judgment; cue_recognition,recognize cues; analyze cues; take action; evaluate outcomes; trend,NGN 長病例要讀成時間線。不要把所有資料看成同等重要，先找變化，再找主要風險，再選行動與評估結果。
024,OSCE Transition,medium-review,Page Unit 024: OSCE 轉換 / OSCE Transition,osce_transition; communication; clinical_judgment,assessment; escalation; handover; reassessment; documentation,"如果能選對但說不出理由，OSCE 仍有風險。每道錯題都要練一句英文：I am concerned about..., I would assess..., I would escalate..."
025,Priority and Delegation,medium-review,Page Unit 025: 優先順序與委派 / Priority and Delegation,prioritization; delegation_scope; safety,priority; first action; unstable client; RN assessment; delegate,這類題的核心不是哪個選項也正確，而是哪個行動最先保護安全。看到 first、priority、new、sudden、worsening，要先找不穩定線索。
026,Question Language,medium-review,Page Unit 026: 題幹語言 / Question Language,english_wording; test_strategy,requires follow-up; further teaching; expected finding; contraindicated; most appropriate,題幹詞控制答題方向。requires follow-up 是找異常或不安全；needs further teaching 是找病人錯誤理解；first 是找最先行動。
027,Pharmacology Safety,high-review,Page Unit 027: 藥理安全 / Pharmacology Safety,pharmacology; knowledge_gap; safety,adverse effect; toxicity; monitor; bleeding risk; patient teaching,藥理題不要只背用途。先問這個藥最怕什麼 harm，需要監測什麼，病人哪句話顯示危險誤解。
028,Maternal-Child Safety,high-review,Page Unit 028: 產兒安全 / Maternal-Child Safety,maternal_safety; cue_recognition; prioritization,heavy lochia; boggy uterus; late decelerations; newborn distress; per protocol,產兒題不是只背週數。先看母體、胎兒或新生兒是否正在失去穩定：出血、胎心、呼吸、血糖、感染與高血壓危象。
029,Mental Health Communication,high-review,Page Unit 029: 精神健康與溝通 / Mental Health Communication,therapeutic_communication; mental_health; safety,therapeutic communication; false reassurance; suicidal ideation; reflection; open-ended question,治療性溝通不是日常安慰。遇到自傷他傷風險，直接評估安全；遇到妄想，不爭辯也不強化妄想。
030,Safety and Infection Control,high-review,Page Unit 030: 安全與感染控制 / Safety and Infection Control,safety_infection; cue_recognition,standard precautions; airborne; contact; aspiration; sepsis,安全題先問 harm 來源：跌倒、誤吸、出血、感染傳播、低氧、敗血症或管路損傷。感染控制先問傳播途徑。
031,NGN Case Reasoning,high-review,Page Unit 031: NGN 病例推理 / NGN Case Reasoning,ngn; clinical_judgment; cue_recognition,recognize cues; analyze cues; take action; evaluate outcomes; trend,NGN 長病例要讀成時間線。不要把所有資料看成同等重要，先找變化，再找主要風險，再選行動與評估結果。
032,OSCE Transition,medium-review,Page Unit 032: OSCE 轉換 / OSCE Transition,osce_transition; communication; clinical_judgment,assessment; escalation; handover; reassessment; documentation,"如果能選對但說不出理由，OSCE 仍有風險。每道錯題都要練一句英文：I am concerned about..., I would assess..., I would escalate..."
033,Priority and Delegation,medium-review,Page Unit 033: 優先順序與委派 / Priority and Delegation,prioritization; delegation_scope; safety,priority; first action; unstable client; RN assessment; delegate,這類題的核心不是哪個選項也正確，而是哪個行動最先保護安全。看到 first、priority、new、sudden、worsening，要先找不穩定線索。
034,Question Language,medium-review,Page Unit 034: 題幹語言 / Question Language,english_wording; test_strategy,requires follow-up; further teaching; expected finding; contraindicated; most appropriate,題幹詞控制答題方向。requires follow-up 是找異常或不安全；needs further teaching 是找病人錯誤理解；first 是找最先行動。
035,Pharmacology Safety,high-review,Page Unit 035: 藥理安全 / Pharmacology Safety,pharmacology; knowledge_gap; safety,adverse effect; toxicity; monitor; bleeding risk; patient teaching,藥理題不要只背用途。先問這個藥最怕什麼 harm，需要監測什麼，病人哪句話顯示危險誤解。
036,Maternal-Child Safety,high-review,Page Unit 036: 產兒安全 / Maternal-Child Safety,maternal_safety; cue_recognition; prioritization,heavy lochia; boggy uterus; late decelerations; newborn distress; per protocol,產兒題不是只背週數。先看母體、胎兒或新生兒是否正在失去穩定：出血、胎心、呼吸、血糖、感染與高血壓危象。
037,Mental Health Communication,high-review,Page Unit 037: 精神健康與溝通 / Mental Health Communication,therapeutic_communication; mental_health; safety,therapeutic communication; false reassurance; suicidal ideation; reflection; open-ended question,治療性溝通不是日常安慰。遇到自傷他傷風險，直接評估安全；遇到妄想，不爭辯也不強化妄想。
038,Safety and Infection Control,high-review,Page Unit 038: 安全與感染控制 / Safety and Infection Control,safety_infection; cue_recognition,standard precautions; airborne; contact; aspiration; sepsis,安全題先問 harm 來源：跌倒、誤吸、出血、感染傳播、低氧、敗血症或管路損傷。感染控制先問傳播途徑。
039,NGN Case Reasoning,high-review,Page Unit 039: NGN 病例推理 / NGN Case Reasoning,ngn; clinical_judgment; cue_recognition,recognize cues; analyze cues; take action; evaluate outcomes; trend,NGN 長病例要讀成時間線。不要把所有資料看成同等重要，先找變化，再找主要風險，再選行動與評估結果。
040,OSCE Transition,medium-review,Page Unit 040: OSCE 轉換 / OSCE Transition,osce_transition; communication; clinical_judgment,assessment; escalation; handover; reassessment; documentation,"如果能選對但說不出理由，OSCE 仍有風險。每道錯題都要練一句英文：I am concerned about..., I would assess..., I would escalate..."
041,Priority and Delegation,medium-review,Page Unit 041: 優先順序與委派 / Priority and Delegation,prioritization; delegation_scope; safety,priority; first action; unstable client; RN assessment; delegate,這類題的核心不是哪個選項也正確，而是哪個行動最先保護安全。看到 first、priority、new、sudden、worsening，要先找不穩定線索。
042,Question Language,medium-review,Page Unit 042: 題幹語言 / Question Language,english_wording; test_strategy,requires follow-up; further teaching; expected finding; contraindicated; most appropriate,題幹詞控制答題方向。requires follow-up 是找異常或不安全；needs further teaching 是找病人錯誤理解；first 是找最先行動。
043,Pharmacology Safety,high-review,Page Unit 043: 藥理安全 / Pharmacology Safety,pharmacology; knowledge_gap; safety,adverse effect; toxicity; monitor; bleeding risk; patient teaching,藥理題不要只背用途。先問這個藥最怕什麼 harm，需要監測什麼，病人哪句話顯示危險誤解。
044,Maternal-Child Safety,high-review,Page Unit 044: 產兒安全 / Maternal-Child Safety,maternal_safety; cue_recognition; prioritization,heavy lochia; boggy uterus; late decelerations; newborn distress; per protocol,產兒題不是只背週數。先看母體、胎兒或新生兒是否正在失去穩定：出血、胎心、呼吸、血糖、感染與高血壓危象。
045,Mental Health Communication,high-review,Page Unit 045: 精神健康與溝通 / Mental Health Communication,therapeutic_communication; mental_health; safety,therapeutic communication; false reassurance; suicidal ideation; reflection; open-ended question,治療性溝通不是日常安慰。遇到自傷他傷風險，直接評估安全；遇到妄想，不爭辯也不強化妄想。
046,Safety and Infection Control,high-review,Page Unit 046: 安全與感染控制 / Safety and Infection Control,safety_infection; cue_recognition,standard precautions; airborne; contact; aspiration; sepsis,安全題先問 harm 來源：跌倒、誤吸、出血、感染傳播、低氧、敗血症或管路損傷。感染控制先問傳播途徑。
047,NGN Case Reasoning,high-review,Page Unit 047: NGN 病例推理 / NGN Case Reasoning,ngn; clinical_judgment; cue_recognition,recognize cues; analyze cues; take action; evaluate outcomes; trend,NGN 長病例要讀成時間線。不要把所有資料看成同等重要，先找變化，再找主要風險，再選行動與評估結果。
048,OSCE Transition,medium-review,Page Unit 048: OSCE 轉換 / OSCE Transition,osce_transition; communication; clinical_judgment,assessment; escalation; handover; reassessment; documentation,"如果能選對但說不出理由，OSCE 仍有風險。每道錯題都要練一句英文：I am concerned about..., I would assess..., I would escalate..."
049,Priority and Delegation,medium-review,Page Unit 049: 優先順序與委派 / Priority and Delegation,prioritization; delegation_scope; safety,priority; first action; unstable client; RN assessment; delegate,這類題的核心不是哪個選項也正確，而是哪個行動最先保護安全。看到 first、priority、new、sudden、worsening，要先找不穩定線索。
050,Question Language,medium-review,Page Unit 050: 題幹語言 / Question Language,english_wording; test_strategy,requires follow-up; further teaching; expected finding; contraindicated; most appropriate,題幹詞控制答題方向。requires follow-up 是找異常或不安全；needs further teaching 是找病人錯誤理解；first 是找最先行動。
051,Pharmacology Safety,high-review,Page Unit 051: 藥理安全 / Pharmacology Safety,pharmacology; knowledge_gap; safety,adverse effect; toxicity; monitor; bleeding risk; patient teaching,藥理題不要只背用途。先問這個藥最怕什麼 harm，需要監測什麼，病人哪句話顯示危險誤解。
052,Maternal-Child Safety,high-review,Page Unit 052: 產兒安全 / Maternal-Child Safety,maternal_safety; cue_recognition; prioritization,heavy lochia; boggy uterus; late decelerations; newborn distress; per protocol,產兒題不是只背週數。先看母體、胎兒或新生兒是否正在失去穩定：出血、胎心、呼吸、血糖、感染與高血壓危象。
053,Mental Health Communication,high-review,Page Unit 053: 精神健康與溝通 / Mental Health Communication,therapeutic_communication; mental_health; safety,therapeutic communication; false reassurance; suicidal ideation; reflection; open-ended question,治療性溝通不是日常安慰。遇到自傷他傷風險，直接評估安全；遇到妄想，不爭辯也不強化妄想。
054,Safety and Infection Control,high-review,Page Unit 054: 安全與感染控制 / Safety and Infection Control,safety_infection; cue_recognition,standard precautions; airborne; contact; aspiration; sepsis,安全題先問 harm 來源：跌倒、誤吸、出血、感染傳播、低氧、敗血症或管路損傷。感染控制先問傳播途徑。
055,NGN Case Reasoning,high-review,Page Unit 055: NGN 病例推理 / NGN Case Reasoning,ngn; clinical_judgment; cue_recognition,recognize cues; analyze cues; take action; evaluate outcomes; trend,NGN 長病例要讀成時間線。不要把所有資料看成同等重要，先找變化，再找主要風險，再選行動與評估結果。
056,OSCE Transition,medium-review,Page Unit 056: OSCE 轉換 / OSCE Transition,osce_transition; communication; clinical_judgment,assessment; escalation; handover; reassessment; documentation,"如果能選對但說不出理由，OSCE 仍有風險。每道錯題都要練一句英文：I am concerned about..., I would assess..., I would escalate..."
057,Priority and Delegation,medium-review,Page Unit 057: 優先順序與委派 / Priority and Delegation,prioritization; delegation_scope; safety,priority; first action; unstable client; RN assessment; delegate,這類題的核心不是哪個選項也正確，而是哪個行動最先保護安全。看到 first、priority、new、sudden、worsening，要先找不穩定線索。
058,Question Language,medium-review,Page Unit 058: 題幹語言 / Question Language,english_wording; test_strategy,requires follow-up; further teaching; expected finding; contraindicated; most appropriate,題幹詞控制答題方向。requires follow-up 是找異常或不安全；needs further teaching 是找病人錯誤理解；first 是找最先行動。
059,Pharmacology Safety,high-review,Page Unit 059: 藥理安全 / Pharmacology Safety,pharmacology; knowledge_gap; safety,adverse effect; toxicity; monitor; bleeding risk; patient teaching,藥理題不要只背用途。先問這個藥最怕什麼 harm，需要監測什麼，病人哪句話顯示危險誤解。
060,Maternal-Child Safety,high-review,Page Unit 060: 產兒安全 / Maternal-Child Safety,maternal_safety; cue_recognition; prioritization,heavy lochia; boggy uterus; late decelerations; newborn distress; per protocol,產兒題不是只背週數。先看母體、胎兒或新生兒是否正在失去穩定：出血、胎心、呼吸、血糖、感染與高血壓危象。
061,Mental Health Communication,high-review,Page Unit 061: 精神健康與溝通 / Mental Health Communication,therapeutic_communication; mental_health; safety,therapeutic communication; false reassurance; suicidal ideation; reflection; open-ended question,治療性溝通不是日常安慰。遇到自傷他傷風險，直接評估安全；遇到妄想，不爭辯也不強化妄想。
062,Safety and Infection Control,high-review,Page Unit 062: 安全與感染控制 / Safety and Infection Control,safety_infection; cue_recognition,standard precautions; airborne; contact; aspiration; sepsis,安全題先問 harm 來源：跌倒、誤吸、出血、感染傳播、低氧、敗血症或管路損傷。感染控制先問傳播途徑。
063,NGN Case Reasoning,high-review,Page Unit 063: NGN 病例推理 / NGN Case Reasoning,ngn; clinical_judgment; cue_recognition,recognize cues; analyze cues; take action; evaluate outcomes; trend,NGN 長病例要讀成時間線。不要把所有資料看成同等重要，先找變化，再找主要風險，再選行動與評估結果。
064,OSCE Transition,medium-review,Page Unit 064: OSCE 轉換 / OSCE Transition,osce_transition; communication; clinical_judgment,assessment; escalation; handover; reassessment; documentation,"如果能選對但說不出理由，OSCE 仍有風險。每道錯題都要練一句英文：I am concerned about..., I would assess..., I would escalate..."
065,Priority and Delegation,medium-review,Page Unit 065: 優先順序與委派 / Priority and Delegation,prioritization; delegation_scope; safety,priority; first action; unstable client; RN assessment; delegate,這類題的核心不是哪個選項也正確，而是哪個行動最先保護安全。看到 first、priority、new、sudden、worsening，要先找不穩定線索。
066,Question Language,medium-review,Page Unit 066: 題幹語言 / Question Language,english_wording; test_strategy,requires follow-up; further teaching; expected finding; contraindicated; most appropriate,題幹詞控制答題方向。requires follow-up 是找異常或不安全；needs further teaching 是找病人錯誤理解；first 是找最先行動。
067,Pharmacology Safety,high-review,Page Unit 067: 藥理安全 / Pharmacology Safety,pharmacology; knowledge_gap; safety,adverse effect; toxicity; monitor; bleeding risk; patient teaching,藥理題不要只背用途。先問這個藥最怕什麼 harm，需要監測什麼，病人哪句話顯示危險誤解。
068,Maternal-Child Safety,high-review,Page Unit 068: 產兒安全 / Maternal-Child Safety,maternal_safety; cue_recognition; prioritization,heavy lochia; boggy uterus; late decelerations; newborn distress; per protocol,產兒題不是只背週數。先看母體、胎兒或新生兒是否正在失去穩定：出血、胎心、呼吸、血糖、感染與高血壓危象。
069,Mental Health Communication,high-review,Page Unit 069: 精神健康與溝通 / Mental Health Communication,therapeutic_communication; mental_health; safety,therapeutic communication; false reassurance; suicidal ideation; reflection; open-ended question,治療性溝通不是日常安慰。遇到自傷他傷風險，直接評估安全；遇到妄想，不爭辯也不強化妄想。
070,Safety and Infection Control,high-review,Page Unit 070: 安全與感染控制 / Safety and Infection Control,safety_infection; cue_recognition,standard precautions; airborne; contact; aspiration; sepsis,安全題先問 harm 來源：跌倒、誤吸、出血、感染傳播、低氧、敗血症或管路損傷。感染控制先問傳播途徑。
071,NGN Case Reasoning,high-review,Page Unit 071: NGN 病例推理 / NGN Case Reasoning,ngn; clinical_judgment; cue_recognition,recognize cues; analyze cues; take action; evaluate outcomes; trend,NGN 長病例要讀成時間線。不要把所有資料看成同等重要，先找變化，再找主要風險，再選行動與評估結果。
072,OSCE Transition,medium-review,Page Unit 072: OSCE 轉換 / OSCE Transition,osce_transition; communication; clinical_judgment,assessment; escalation; handover; reassessment; documentation,"如果能選對但說不出理由，OSCE 仍有風險。每道錯題都要練一句英文：I am concerned about..., I would assess..., I would escalate..."
073,Priority and Delegation,medium-review,Page Unit 073: 優先順序與委派 / Priority and Delegation,prioritization; delegation_scope; safety,priority; first action; unstable client; RN assessment; delegate,這類題的核心不是哪個選項也正確，而是哪個行動最先保護安全。看到 first、priority、new、sudden、worsening，要先找不穩定線索。
074,Question Language,medium-review,Page Unit 074: 題幹語言 / Question Language,english_wording; test_strategy,requires follow-up; further teaching; expected finding; contraindicated; most appropriate,題幹詞控制答題方向。requires follow-up 是找異常或不安全；needs further teaching 是找病人錯誤理解；first 是找最先行動。
075,Pharmacology Safety,high-review,Page Unit 075: 藥理安全 / Pharmacology Safety,pharmacology; knowledge_gap; safety,adverse effect; toxicity; monitor; bleeding risk; patient teaching,藥理題不要只背用途。先問這個藥最怕什麼 harm，需要監測什麼，病人哪句話顯示危險誤解。
076,Maternal-Child Safety,high-review,Page Unit 076: 產兒安全 / Maternal-Child Safety,maternal_safety; cue_recognition; prioritization,heavy lochia; boggy uterus; late decelerations; newborn distress; per protocol,產兒題不是只背週數。先看母體、胎兒或新生兒是否正在失去穩定：出血、胎心、呼吸、血糖、感染與高血壓危象。
077,Mental Health Communication,high-review,Page Unit 077: 精神健康與溝通 / Mental Health Communication,therapeutic_communication; mental_health; safety,therapeutic communication; false reassurance; suicidal ideation; reflection; open-ended question,治療性溝通不是日常安慰。遇到自傷他傷風險，直接評估安全；遇到妄想，不爭辯也不強化妄想。
078,Safety and Infection Control,high-review,Page Unit 078: 安全與感染控制 / Safety and Infection Control,safety_infection; cue_recognition,standard precautions; airborne; contact; aspiration; sepsis,安全題先問 harm 來源：跌倒、誤吸、出血、感染傳播、低氧、敗血症或管路損傷。感染控制先問傳播途徑。
079,NGN Case Reasoning,high-review,Page Unit 079: NGN 病例推理 / NGN Case Reasoning,ngn; clinical_judgment; cue_recognition,recognize cues; analyze cues; take action; evaluate outcomes; trend,NGN 長病例要讀成時間線。不要把所有資料看成同等重要，先找變化，再找主要風險，再選行動與評估結果。
080,OSCE Transition,medium-review,Page Unit 080: OSCE 轉換 / OSCE Transition,osce_transition; communication; clinical_judgment,assessment; escalation; handover; reassessment; documentation,"如果能選對但說不出理由，OSCE 仍有風險。每道錯題都要練一句英文：I am concerned about..., I would assess..., I would escalate..."
081,Priority and Delegation,medium-review,Page Unit 081: 優先順序與委派 / Priority and Delegation,prioritization; delegation_scope; safety,priority; first action; unstable client; RN assessment; delegate,這類題的核心不是哪個選項也正確，而是哪個行動最先保護安全。看到 first、priority、new、sudden、worsening，要先找不穩定線索。
082,Question Language,medium-review,Page Unit 082: 題幹語言 / Question Language,english_wording; test_strategy,requires follow-up; further teaching; expected finding; contraindicated; most appropriate,題幹詞控制答題方向。requires follow-up 是找異常或不安全；needs further teaching 是找病人錯誤理解；first 是找最先行動。
083,Pharmacology Safety,high-review,Page Unit 083: 藥理安全 / Pharmacology Safety,pharmacology; knowledge_gap; safety,adverse effect; toxicity; monitor; bleeding risk; patient teaching,藥理題不要只背用途。先問這個藥最怕什麼 harm，需要監測什麼，病人哪句話顯示危險誤解。
084,Maternal-Child Safety,high-review,Page Unit 084: 產兒安全 / Maternal-Child Safety,maternal_safety; cue_recognition; prioritization,heavy lochia; boggy uterus; late decelerations; newborn distress; per protocol,產兒題不是只背週數。先看母體、胎兒或新生兒是否正在失去穩定：出血、胎心、呼吸、血糖、感染與高血壓危象。
085,Mental Health Communication,high-review,Page Unit 085: 精神健康與溝通 / Mental Health Communication,therapeutic_communication; mental_health; safety,therapeutic communication; false reassurance; suicidal ideation; reflection; open-ended question,治療性溝通不是日常安慰。遇到自傷他傷風險，直接評估安全；遇到妄想，不爭辯也不強化妄想。
086,Safety and Infection Control,high-review,Page Unit 086: 安全與感染控制 / Safety and Infection Control,safety_infection; cue_recognition,standard precautions; airborne; contact; aspiration; sepsis,安全題先問 harm 來源：跌倒、誤吸、出血、感染傳播、低氧、敗血症或管路損傷。感染控制先問傳播途徑。
087,NGN Case Reasoning,high-review,Page Unit 087: NGN 病例推理 / NGN Case Reasoning,ngn; clinical_judgment; cue_recognition,recognize cues; analyze cues; take action; evaluate outcomes; trend,NGN 長病例要讀成時間線。不要把所有資料看成同等重要，先找變化，再找主要風險，再選行動與評估結果。
088,OSCE Transition,medium-review,Page Unit 088: OSCE 轉換 / OSCE Transition,osce_transition; communication; clinical_judgment,assessment; escalation; handover; reassessment; documentation,"如果能選對但說不出理由，OSCE 仍有風險。每道錯題都要練一句英文：I am concerned about..., I would assess..., I would escalate..."
089,Priority and Delegation,medium-review,Page Unit 089: 優先順序與委派 / Priority and Delegation,prioritization; delegation_scope; safety,priority; first action; unstable client; RN assessment; delegate,這類題的核心不是哪個選項也正確，而是哪個行動最先保護安全。看到 first、priority、new、sudden、worsening，要先找不穩定線索。
090,Question Language,medium-review,Page Unit 090: 題幹語言 / Question Language,english_wording; test_strategy,requires follow-up; further teaching; expected finding; contraindicated; most appropriate,題幹詞控制答題方向。requires follow-up 是找異常或不安全；needs further teaching 是找病人錯誤理解；first 是找最先行動。
091,Pharmacology Safety,high-review,Page Unit 091: 藥理安全 / Pharmacology Safety,pharmacology; knowledge_gap; safety,adverse effect; toxicity; monitor; bleeding risk; patient teaching,藥理題不要只背用途。先問這個藥最怕什麼 harm，需要監測什麼，病人哪句話顯示危險誤解。
092,Maternal-Child Safety,high-review,Page Unit 092: 產兒安全 / Maternal-Child Safety,maternal_safety; cue_recognition; prioritization,heavy lochia; boggy uterus; late decelerations; newborn distress; per protocol,產兒題不是只背週數。先看母體、胎兒或新生兒是否正在失去穩定：出血、胎心、呼吸、血糖、感染與高血壓危象。
093,Mental Health Communication,high-review,Page Unit 093: 精神健康與溝通 / Mental Health Communication,therapeutic_communication; mental_health; safety,therapeutic communication; false reassurance; suicidal ideation; reflection; open-ended question,治療性溝通不是日常安慰。遇到自傷他傷風險，直接評估安全；遇到妄想，不爭辯也不強化妄想。
094,Safety and Infection Control,high-review,Page Unit 094: 安全與感染控制 / Safety and Infection Control,safety_infection; cue_recognition,standard precautions; airborne; contact; aspiration; sepsis,安全題先問 harm 來源：跌倒、誤吸、出血、感染傳播、低氧、敗血症或管路損傷。感染控制先問傳播途徑。
095,NGN Case Reasoning,high-review,Page Unit 095: NGN 病例推理 / NGN Case Reasoning,ngn; clinical_judgment; cue_recognition,recognize cues; analyze cues; take action; evaluate outcomes; trend,NGN 長病例要讀成時間線。不要把所有資料看成同等重要，先找變化，再找主要風險，再選行動與評估結果。
096,OSCE Transition,medium-review,Page Unit 096: OSCE 轉換 / OSCE Transition,osce_transition; communication; clinical_judgment,assessment; escalation; handover; reassessment; documentation,"如果能選對但說不出理由，OSCE 仍有風險。每道錯題都要練一句英文：I am concerned about..., I would assess..., I would escalate..."
097,Priority and Delegation,medium-review,Page Unit 097: 優先順序與委派 / Priority and Delegation,prioritization; delegation_scope; safety,priority; first action; unstable client; RN assessment; delegate,這類題的核心不是哪個選項也正確，而是哪個行動最先保護安全。看到 first、priority、new、sudden、worsening，要先找不穩定線索。
098,Question Language,medium-review,Page Unit 098: 題幹語言 / Question Language,english_wording; test_strategy,requires follow-up; further teaching; expected finding; contraindicated; most appropriate,題幹詞控制答題方向。requires follow-up 是找異常或不安全；needs further teaching 是找病人錯誤理解；first 是找最先行動。
