"risk_level","risk_score","review_priority","review_status","reviewer_name","review_date","item_id","category","source_file","generated","risk_reasons","stem","stem_zh","answer","rationale","rationale_zh","clinical_safety_notes","required_revision","approved_for_beta"
"high","86","review before beta","pending","","","AUTO30_146","pharmacology","question_bank_expansion_30.json","yes","high-risk category: pharmacology; high-risk keywords: bleeding, anticoagulation, warfarin, black stools; scope/communication keywords: teach; generated expansion item","A client taking warfarin needs nursing follow-up related to black stools. Which action is most appropriate?","使用 warfarin 的病人因黑便需要護理追蹤。哪項行動最合適？","B","Black stools may indicate gastrointestinal bleeding.","黑便可能提示胃腸道出血。","","",""
"high","86","review before beta","pending","","","AUTO50_032","pharmacology","question_bank_expansion_50.json","yes","high-risk category: pharmacology; high-risk keywords: bleeding, anticoagulation, warfarin, black stools; scope/communication keywords: teach; generated expansion item","A client taking warfarin needs nursing follow-up related to black stools. Which action is most appropriate?","使用 warfarin 的病人因黑便需要護理追蹤。哪項行動最合適？","B","Black stools may indicate gastrointestinal bleeding.","黑便可能提示胃腸道出血。","","",""
"high","86","review before beta","pending","","","AUTO50_068","pharmacology","question_bank_expansion_50.json","yes","high-risk category: pharmacology; high-risk keywords: bleeding, anticoagulation, warfarin, black stools; scope/communication keywords: teach; generated expansion item","A client taking warfarin needs nursing follow-up related to black stools. Which action is most appropriate?","使用 warfarin 的病人因黑便需要護理追蹤。哪項行動最合適？","B","Black stools may indicate gastrointestinal bleeding.","黑便可能提示胃腸道出血。","","",""
"high","86","review before beta","pending","","","AUTO50_076","prioritization","question_bank_expansion_50.json","yes","high-risk category: prioritization; high-risk keywords: hypoglycemia, blood glucose, hypoglycemia; scope/communication keywords: teach, teaching, assessment; generated expansion item","The nurse is caring for a client with diabetes with confusion, sweating and trembling. What should the nurse do first?","護理師照護一位糖尿病病人，出現混亂、出汗與顫抖。護理師應先做什麼？","B","These cues suggest possible hypoglycemia and require immediate assessment.","這些線索提示可能低血糖，需要立即評估。","","",""
"high","86","review before beta","pending","","","AUTO50_104","pharmacology","question_bank_expansion_50.json","yes","high-risk category: pharmacology; high-risk keywords: bleeding, anticoagulation, warfarin, black stools; scope/communication keywords: teach; generated expansion item","A client taking warfarin needs nursing follow-up related to black stools. Which action is most appropriate?","使用 warfarin 的病人因黑便需要護理追蹤。哪項行動最合適？","B","Black stools may indicate gastrointestinal bleeding.","黑便可能提示胃腸道出血。","","",""
"high","86","review before beta","pending","","","AUTO50_140","pharmacology","question_bank_expansion_50.json","yes","high-risk category: pharmacology; high-risk keywords: bleeding, anticoagulation, warfarin, black stools; scope/communication keywords: teach; generated expansion item","A client taking warfarin needs nursing follow-up related to black stools. Which action is most appropriate?","使用 warfarin 的病人因黑便需要護理追蹤。哪項行動最合適？","B","Black stools may indicate gastrointestinal bleeding.","黑便可能提示胃腸道出血。","","",""
"high","86","review before beta","pending","","","AUTO50_176","pharmacology","question_bank_expansion_50.json","yes","high-risk category: pharmacology; high-risk keywords: bleeding, anticoagulation, warfarin, black stools; scope/communication keywords: teach; generated expansion item","A client taking warfarin needs nursing follow-up related to black stools. Which action is most appropriate?","使用 warfarin 的病人因黑便需要護理追蹤。哪項行動最合適？","B","Black stools may indicate gastrointestinal bleeding.","黑便可能提示胃腸道出血。","","",""
"high","86","review before beta","pending","","","AUTO50_212","pharmacology","question_bank_expansion_50.json","yes","high-risk category: pharmacology; high-risk keywords: bleeding, anticoagulation, warfarin, black stools; scope/communication keywords: teach; generated expansion item","A client taking warfarin needs nursing follow-up related to black stools. Which action is most appropriate?","使用 warfarin 的病人因黑便需要護理追蹤。哪項行動最合適？","B","Black stools may indicate gastrointestinal bleeding.","黑便可能提示胃腸道出血。","","",""
"high","86","review before beta","pending","","","AUTO50_220","prioritization","question_bank_expansion_50.json","yes","high-risk category: prioritization; high-risk keywords: hypoglycemia, blood glucose, hypoglycemia; scope/communication keywords: teach, teaching, assessment; generated expansion item","The nurse is caring for a client with diabetes with confusion, sweating and trembling. What should the nurse do first?","護理師照護一位糖尿病病人，出現混亂、出汗與顫抖。護理師應先做什麼？","B","These cues suggest possible hypoglycemia and require immediate assessment.","這些線索提示可能低血糖，需要立即評估。","","",""
"high","86","review before beta","pending","","","AUTO50_248","pharmacology","question_bank_expansion_50.json","yes","high-risk category: pharmacology; high-risk keywords: bleeding, anticoagulation, warfarin, black stools; scope/communication keywords: teach; generated expansion item","A client taking warfarin needs nursing follow-up related to black stools. Which action is most appropriate?","使用 warfarin 的病人因黑便需要護理追蹤。哪項行動最合適？","B","Black stools may indicate gastrointestinal bleeding.","黑便可能提示胃腸道出血。","","",""
"high","82","review before beta","pending","","","AUTO30_004","maternal_child","question_bank_expansion_30.json","yes","high-risk category: maternal_child; high-risk keywords: hypoglycemia, blood glucose, newborn, hypoglycemia; generated expansion item","A newborn has jitteriness and poor feeding. What is the best nursing response?","一位新生兒出現顫抖且餵食差。最佳護理反應是？","D","Jitteriness and poor feeding may indicate neonatal hypoglycemia.","顫抖和餵食差可能提示新生兒低血糖。","","",""
"high","82","review before beta","pending","","","AUTO30_013","maternal_child","question_bank_expansion_30.json","yes","high-risk category: maternal_child; high-risk keywords: bleeding, postpartum, boggy, uterine; generated expansion item","A postpartum client has boggy uterus and heavy lochia. What is the best nursing response?","一位產後病人出現子宮鬆軟且惡露多。最佳護理反應是？","A","Boggy uterus with heavy lochia suggests uterine atony and bleeding risk.","子宮鬆軟合併惡露多提示子宮收縮乏力與出血風險。","","",""
"high","82","review before beta","pending","","","AUTO30_022","maternal_child","question_bank_expansion_30.json","yes","high-risk category: maternal_child; high-risk keywords: hypoglycemia, blood glucose, newborn, hypoglycemia; generated expansion item","A newborn has jitteriness and poor feeding. What is the best nursing response?","一位新生兒出現顫抖且餵食差。最佳護理反應是？","B","Jitteriness and poor feeding may indicate neonatal hypoglycemia.","顫抖和餵食差可能提示新生兒低血糖。","","",""
"high","82","review before beta","pending","","","AUTO30_031","maternal_child","question_bank_expansion_30.json","yes","high-risk category: maternal_child; high-risk keywords: bleeding, postpartum, boggy, uterine; generated expansion item","A postpartum client has boggy uterus and heavy lochia. What is the best nursing response?","一位產後病人出現子宮鬆軟且惡露多。最佳護理反應是？","C","Boggy uterus with heavy lochia suggests uterine atony and bleeding risk.","子宮鬆軟合併惡露多提示子宮收縮乏力與出血風險。","","",""
"high","82","review before beta","pending","","","AUTO30_040","maternal_child","question_bank_expansion_30.json","yes","high-risk category: maternal_child; high-risk keywords: hypoglycemia, blood glucose, newborn, hypoglycemia; generated expansion item","A newborn has jitteriness and poor feeding. What is the best nursing response?","一位新生兒出現顫抖且餵食差。最佳護理反應是？","D","Jitteriness and poor feeding may indicate neonatal hypoglycemia.","顫抖和餵食差可能提示新生兒低血糖。","","",""
"high","82","review before beta","pending","","","AUTO30_049","maternal_child","question_bank_expansion_30.json","yes","high-risk category: maternal_child; high-risk keywords: bleeding, postpartum, boggy, uterine; generated expansion item","A postpartum client has boggy uterus and heavy lochia. What is the best nursing response?","一位產後病人出現子宮鬆軟且惡露多。最佳護理反應是？","A","Boggy uterus with heavy lochia suggests uterine atony and bleeding risk.","子宮鬆軟合併惡露多提示子宮收縮乏力與出血風險。","","",""
"high","82","review before beta","pending","","","AUTO30_058","maternal_child","question_bank_expansion_30.json","yes","high-risk category: maternal_child; high-risk keywords: hypoglycemia, blood glucose, newborn, hypoglycemia; generated expansion item","A newborn has jitteriness and poor feeding. What is the best nursing response?","一位新生兒出現顫抖且餵食差。最佳護理反應是？","B","Jitteriness and poor feeding may indicate neonatal hypoglycemia.","顫抖和餵食差可能提示新生兒低血糖。","","",""
"high","82","review before beta","pending","","","AUTO30_067","maternal_child","question_bank_expansion_30.json","yes","high-risk category: maternal_child; high-risk keywords: bleeding, postpartum, boggy, uterine; generated expansion item","A postpartum client has boggy uterus and heavy lochia. What is the best nursing response?","一位產後病人出現子宮鬆軟且惡露多。最佳護理反應是？","C","Boggy uterus with heavy lochia suggests uterine atony and bleeding risk.","子宮鬆軟合併惡露多提示子宮收縮乏力與出血風險。","","",""
"high","82","review before beta","pending","","","AUTO30_076","maternal_child","question_bank_expansion_30.json","yes","high-risk category: maternal_child; high-risk keywords: hypoglycemia, blood glucose, newborn, hypoglycemia; generated expansion item","A newborn has jitteriness and poor feeding. What is the best nursing response?","一位新生兒出現顫抖且餵食差。最佳護理反應是？","D","Jitteriness and poor feeding may indicate neonatal hypoglycemia.","顫抖和餵食差可能提示新生兒低血糖。","","",""
"high","82","review before beta","pending","","","AUTO30_085","maternal_child","question_bank_expansion_30.json","yes","high-risk category: maternal_child; high-risk keywords: bleeding, postpartum, boggy, uterine; generated expansion item","A postpartum client has boggy uterus and heavy lochia. What is the best nursing response?","一位產後病人出現子宮鬆軟且惡露多。最佳護理反應是？","A","Boggy uterus with heavy lochia suggests uterine atony and bleeding risk.","子宮鬆軟合併惡露多提示子宮收縮乏力與出血風險。","","",""
"high","82","review before beta","pending","","","AUTO30_091","prioritization","question_bank_expansion_30.json","yes","high-risk category: prioritization; high-risk keywords: sepsis, hypotension, perfusion; scope/communication keywords: teach, teaching; generated expansion item","The nurse is caring for a client with infection with new confusion, fever and blood pressure 86/52. What should the nurse do first?","護理師照護一位感染病人，出現新發混亂、發燒且血壓 86/52。護理師應先做什麼？","C","Infection plus hypotension and mental-status change is concerning for sepsis.","感染合併低血壓和意識變化令人擔心敗血症。","","",""
"high","82","review before beta","pending","","","AUTO30_094","maternal_child","question_bank_expansion_30.json","yes","high-risk category: maternal_child; high-risk keywords: hypoglycemia, blood glucose, newborn, hypoglycemia; generated expansion item","A newborn has jitteriness and poor feeding. What is the best nursing response?","一位新生兒出現顫抖且餵食差。最佳護理反應是？","B","Jitteriness and poor feeding may indicate neonatal hypoglycemia.","顫抖和餵食差可能提示新生兒低血糖。","","",""
"high","82","review before beta","pending","","","AUTO30_097","ngn","question_bank_expansion_30.json","yes","high-risk category: ngn; high-risk keywords: oxygen, saturation, shortness of breath; scope/communication keywords: teach, teaching; generated expansion item","Which action best reflects clinical judgment in this mixed safety case?","在這個混合安全情境中，哪項行動最能體現臨床判斷？","A","Clinical judgment requires recognizing urgent cues, prioritizing safety and applying the relevant protocol-sensitive intervention.","臨床判斷需要辨識緊急線索、排序安全風險，並採取相關且符合流程的干預。","","",""
"high","82","review before beta","pending","","","AUTO30_103","maternal_child","question_bank_expansion_30.json","yes","high-risk category: maternal_child; high-risk keywords: bleeding, postpartum, boggy, uterine; generated expansion item","A postpartum client has boggy uterus and heavy lochia. What is the best nursing response?","一位產後病人出現子宮鬆軟且惡露多。最佳護理反應是？","C","Boggy uterus with heavy lochia suggests uterine atony and bleeding risk.","子宮鬆軟合併惡露多提示子宮收縮乏力與出血風險。","","",""
"high","82","review before beta","pending","","","AUTO30_112","maternal_child","question_bank_expansion_30.json","yes","high-risk category: maternal_child; high-risk keywords: hypoglycemia, blood glucose, newborn, hypoglycemia; generated expansion item","A newborn has jitteriness and poor feeding. What is the best nursing response?","一位新生兒出現顫抖且餵食差。最佳護理反應是？","D","Jitteriness and poor feeding may indicate neonatal hypoglycemia.","顫抖和餵食差可能提示新生兒低血糖。","","",""
"high","82","review before beta","pending","","","AUTO30_121","maternal_child","question_bank_expansion_30.json","yes","high-risk category: maternal_child; high-risk keywords: bleeding, postpartum, boggy, uterine; generated expansion item","A postpartum client has boggy uterus and heavy lochia. What is the best nursing response?","一位產後病人出現子宮鬆軟且惡露多。最佳護理反應是？","A","Boggy uterus with heavy lochia suggests uterine atony and bleeding risk.","子宮鬆軟合併惡露多提示子宮收縮乏力與出血風險。","","",""
"high","82","review before beta","pending","","","AUTO30_130","maternal_child","question_bank_expansion_30.json","yes","high-risk category: maternal_child; high-risk keywords: hypoglycemia, blood glucose, newborn, hypoglycemia; generated expansion item","A newborn has jitteriness and poor feeding. What is the best nursing response?","一位新生兒出現顫抖且餵食差。最佳護理反應是？","B","Jitteriness and poor feeding may indicate neonatal hypoglycemia.","顫抖和餵食差可能提示新生兒低血糖。","","",""
"high","82","review before beta","pending","","","AUTO30_139","maternal_child","question_bank_expansion_30.json","yes","high-risk category: maternal_child; high-risk keywords: bleeding, postpartum, boggy, uterine; generated expansion item","A postpartum client has boggy uterus and heavy lochia. What is the best nursing response?","一位產後病人出現子宮鬆軟且惡露多。最佳護理反應是？","C","Boggy uterus with heavy lochia suggests uterine atony and bleeding risk.","子宮鬆軟合併惡露多提示子宮收縮乏力與出血風險。","","",""
"high","82","review before beta","pending","","","AUTO30_148","maternal_child","question_bank_expansion_30.json","yes","high-risk category: maternal_child; high-risk keywords: hypoglycemia, blood glucose, newborn, hypoglycemia; generated expansion item","A newborn has jitteriness and poor feeding. What is the best nursing response?","一位新生兒出現顫抖且餵食差。最佳護理反應是？","D","Jitteriness and poor feeding may indicate neonatal hypoglycemia.","顫抖和餵食差可能提示新生兒低血糖。","","",""
"high","82","review before beta","pending","","","AUTO50_007","maternal_child","question_bank_expansion_50.json","yes","high-risk category: maternal_child; high-risk keywords: bleeding, postpartum, boggy, uterine; generated expansion item","A postpartum client has boggy uterus and heavy lochia. What is the best nursing response?","一位產後病人出現子宮鬆軟且惡露多。最佳護理反應是？","A","Boggy uterus with heavy lochia suggests uterine atony and bleeding risk.","子宮鬆軟合併惡露多提示子宮收縮乏力與出血風險。","","",""
"high","82","review before beta","pending","","","AUTO50_016","maternal_child","question_bank_expansion_50.json","yes","high-risk category: maternal_child; high-risk keywords: hypoglycemia, blood glucose, newborn, hypoglycemia; generated expansion item","A newborn has jitteriness and poor feeding. What is the best nursing response?","一位新生兒出現顫抖且餵食差。最佳護理反應是？","B","Jitteriness and poor feeding may indicate neonatal hypoglycemia.","顫抖和餵食差可能提示新生兒低血糖。","","",""
"high","82","review before beta","pending","","","AUTO50_025","maternal_child","question_bank_expansion_50.json","yes","high-risk category: maternal_child; high-risk keywords: bleeding, postpartum, boggy, uterine; generated expansion item","A postpartum client has boggy uterus and heavy lochia. What is the best nursing response?","一位產後病人出現子宮鬆軟且惡露多。最佳護理反應是？","C","Boggy uterus with heavy lochia suggests uterine atony and bleeding risk.","子宮鬆軟合併惡露多提示子宮收縮乏力與出血風險。","","",""
"high","82","review before beta","pending","","","AUTO50_034","maternal_child","question_bank_expansion_50.json","yes","high-risk category: maternal_child; high-risk keywords: hypoglycemia, blood glucose, newborn, hypoglycemia; generated expansion item","A newborn has jitteriness and poor feeding. What is the best nursing response?","一位新生兒出現顫抖且餵食差。最佳護理反應是？","D","Jitteriness and poor feeding may indicate neonatal hypoglycemia.","顫抖和餵食差可能提示新生兒低血糖。","","",""
"high","82","review before beta","pending","","","AUTO50_043","maternal_child","question_bank_expansion_50.json","yes","high-risk category: maternal_child; high-risk keywords: bleeding, postpartum, boggy, uterine; generated expansion item","A postpartum client has boggy uterus and heavy lochia. What is the best nursing response?","一位產後病人出現子宮鬆軟且惡露多。最佳護理反應是？","A","Boggy uterus with heavy lochia suggests uterine atony and bleeding risk.","子宮鬆軟合併惡露多提示子宮收縮乏力與出血風險。","","",""
"high","82","review before beta","pending","","","AUTO50_052","maternal_child","question_bank_expansion_50.json","yes","high-risk category: maternal_child; high-risk keywords: hypoglycemia, blood glucose, newborn, hypoglycemia; generated expansion item","A newborn has jitteriness and poor feeding. What is the best nursing response?","一位新生兒出現顫抖且餵食差。最佳護理反應是？","B","Jitteriness and poor feeding may indicate neonatal hypoglycemia.","顫抖和餵食差可能提示新生兒低血糖。","","",""
"high","82","review before beta","pending","","","AUTO50_061","maternal_child","question_bank_expansion_50.json","yes","high-risk category: maternal_child; high-risk keywords: bleeding, postpartum, boggy, uterine; generated expansion item","A postpartum client has boggy uterus and heavy lochia. What is the best nursing response?","一位產後病人出現子宮鬆軟且惡露多。最佳護理反應是？","C","Boggy uterus with heavy lochia suggests uterine atony and bleeding risk.","子宮鬆軟合併惡露多提示子宮收縮乏力與出血風險。","","",""
"high","82","review before beta","pending","","","AUTO50_070","maternal_child","question_bank_expansion_50.json","yes","high-risk category: maternal_child; high-risk keywords: hypoglycemia, blood glucose, newborn, hypoglycemia; generated expansion item","A newborn has jitteriness and poor feeding. What is the best nursing response?","一位新生兒出現顫抖且餵食差。最佳護理反應是？","D","Jitteriness and poor feeding may indicate neonatal hypoglycemia.","顫抖和餵食差可能提示新生兒低血糖。","","",""
"high","82","review before beta","pending","","","AUTO50_079","maternal_child","question_bank_expansion_50.json","yes","high-risk category: maternal_child; high-risk keywords: bleeding, postpartum, boggy, uterine; generated expansion item","A postpartum client has boggy uterus and heavy lochia. What is the best nursing response?","一位產後病人出現子宮鬆軟且惡露多。最佳護理反應是？","A","Boggy uterus with heavy lochia suggests uterine atony and bleeding risk.","子宮鬆軟合併惡露多提示子宮收縮乏力與出血風險。","","",""
"high","82","review before beta","pending","","","AUTO50_085","prioritization","question_bank_expansion_50.json","yes","high-risk category: prioritization; high-risk keywords: sepsis, hypotension, perfusion; scope/communication keywords: teach, teaching; generated expansion item","The nurse is caring for a client with infection with new confusion, fever and blood pressure 86/52. What should the nurse do first?","護理師照護一位感染病人，出現新發混亂、發燒且血壓 86/52。護理師應先做什麼？","C","Infection plus hypotension and mental-status change is concerning for sepsis.","感染合併低血壓和意識變化令人擔心敗血症。","","",""
"high","82","review before beta","pending","","","AUTO50_088","maternal_child","question_bank_expansion_50.json","yes","high-risk category: maternal_child; high-risk keywords: hypoglycemia, blood glucose, newborn, hypoglycemia; generated expansion item","A newborn has jitteriness and poor feeding. What is the best nursing response?","一位新生兒出現顫抖且餵食差。最佳護理反應是？","B","Jitteriness and poor feeding may indicate neonatal hypoglycemia.","顫抖和餵食差可能提示新生兒低血糖。","","",""
"high","82","review before beta","pending","","","AUTO50_091","ngn","question_bank_expansion_50.json","yes","high-risk category: ngn; high-risk keywords: oxygen, saturation, shortness of breath; scope/communication keywords: teach, teaching; generated expansion item","Which action best reflects clinical judgment in this mixed safety case?","在這個混合安全情境中，哪項行動最能體現臨床判斷？","A","Clinical judgment requires recognizing urgent cues, prioritizing safety and applying the relevant protocol-sensitive intervention.","臨床判斷需要辨識緊急線索、排序安全風險，並採取相關且符合流程的干預。","","",""
"high","82","review before beta","pending","","","AUTO50_097","maternal_child","question_bank_expansion_50.json","yes","high-risk category: maternal_child; high-risk keywords: bleeding, postpartum, boggy, uterine; generated expansion item","A postpartum client has boggy uterus and heavy lochia. What is the best nursing response?","一位產後病人出現子宮鬆軟且惡露多。最佳護理反應是？","C","Boggy uterus with heavy lochia suggests uterine atony and bleeding risk.","子宮鬆軟合併惡露多提示子宮收縮乏力與出血風險。","","",""
"high","82","review before beta","pending","","","AUTO50_106","maternal_child","question_bank_expansion_50.json","yes","high-risk category: maternal_child; high-risk keywords: hypoglycemia, blood glucose, newborn, hypoglycemia; generated expansion item","A newborn has jitteriness and poor feeding. What is the best nursing response?","一位新生兒出現顫抖且餵食差。最佳護理反應是？","D","Jitteriness and poor feeding may indicate neonatal hypoglycemia.","顫抖和餵食差可能提示新生兒低血糖。","","",""
"high","82","review before beta","pending","","","AUTO50_115","maternal_child","question_bank_expansion_50.json","yes","high-risk category: maternal_child; high-risk keywords: bleeding, postpartum, boggy, uterine; generated expansion item","A postpartum client has boggy uterus and heavy lochia. What is the best nursing response?","一位產後病人出現子宮鬆軟且惡露多。最佳護理反應是？","A","Boggy uterus with heavy lochia suggests uterine atony and bleeding risk.","子宮鬆軟合併惡露多提示子宮收縮乏力與出血風險。","","",""
"high","82","review before beta","pending","","","AUTO50_124","maternal_child","question_bank_expansion_50.json","yes","high-risk category: maternal_child; high-risk keywords: hypoglycemia, blood glucose, newborn, hypoglycemia; generated expansion item","A newborn has jitteriness and poor feeding. What is the best nursing response?","一位新生兒出現顫抖且餵食差。最佳護理反應是？","B","Jitteriness and poor feeding may indicate neonatal hypoglycemia.","顫抖和餵食差可能提示新生兒低血糖。","","",""
"high","82","review before beta","pending","","","AUTO50_133","maternal_child","question_bank_expansion_50.json","yes","high-risk category: maternal_child; high-risk keywords: bleeding, postpartum, boggy, uterine; generated expansion item","A postpartum client has boggy uterus and heavy lochia. What is the best nursing response?","一位產後病人出現子宮鬆軟且惡露多。最佳護理反應是？","C","Boggy uterus with heavy lochia suggests uterine atony and bleeding risk.","子宮鬆軟合併惡露多提示子宮收縮乏力與出血風險。","","",""
"high","82","review before beta","pending","","","AUTO50_142","maternal_child","question_bank_expansion_50.json","yes","high-risk category: maternal_child; high-risk keywords: hypoglycemia, blood glucose, newborn, hypoglycemia; generated expansion item","A newborn has jitteriness and poor feeding. What is the best nursing response?","一位新生兒出現顫抖且餵食差。最佳護理反應是？","D","Jitteriness and poor feeding may indicate neonatal hypoglycemia.","顫抖和餵食差可能提示新生兒低血糖。","","",""
"high","82","review before beta","pending","","","AUTO50_151","maternal_child","question_bank_expansion_50.json","yes","high-risk category: maternal_child; high-risk keywords: bleeding, postpartum, boggy, uterine; generated expansion item","A postpartum client has boggy uterus and heavy lochia. What is the best nursing response?","一位產後病人出現子宮鬆軟且惡露多。最佳護理反應是？","A","Boggy uterus with heavy lochia suggests uterine atony and bleeding risk.","子宮鬆軟合併惡露多提示子宮收縮乏力與出血風險。","","",""
"high","82","review before beta","pending","","","AUTO50_160","maternal_child","question_bank_expansion_50.json","yes","high-risk category: maternal_child; high-risk keywords: hypoglycemia, blood glucose, newborn, hypoglycemia; generated expansion item","A newborn has jitteriness and poor feeding. What is the best nursing response?","一位新生兒出現顫抖且餵食差。最佳護理反應是？","B","Jitteriness and poor feeding may indicate neonatal hypoglycemia.","顫抖和餵食差可能提示新生兒低血糖。","","",""
"high","82","review before beta","pending","","","AUTO50_169","maternal_child","question_bank_expansion_50.json","yes","high-risk category: maternal_child; high-risk keywords: bleeding, postpartum, boggy, uterine; generated expansion item","A postpartum client has boggy uterus and heavy lochia. What is the best nursing response?","一位產後病人出現子宮鬆軟且惡露多。最佳護理反應是？","C","Boggy uterus with heavy lochia suggests uterine atony and bleeding risk.","子宮鬆軟合併惡露多提示子宮收縮乏力與出血風險。","","",""
"high","82","review before beta","pending","","","AUTO50_178","maternal_child","question_bank_expansion_50.json","yes","high-risk category: maternal_child; high-risk keywords: hypoglycemia, blood glucose, newborn, hypoglycemia; generated expansion item","A newborn has jitteriness and poor feeding. What is the best nursing response?","一位新生兒出現顫抖且餵食差。最佳護理反應是？","D","Jitteriness and poor feeding may indicate neonatal hypoglycemia.","顫抖和餵食差可能提示新生兒低血糖。","","",""
