"review_status","reviewer_name","review_date","item_id","category","source_file","generated","stem","stem_zh","answer","rationale","rationale_zh","clinical_safety_notes","language_notes","approved_for_beta"
"pending","","","NGN004","ngn","question_bank_expansion_30.json","no","Which actions are appropriate first-line nursing actions? Select all that apply.","哪些屬於合適的第一線護理行動？可多選。","A|B|D","Respiratory distress requires positioning, assessment and prescribed/protocol treatment. Teaching is not first priority during distress.","呼吸窘迫需體位、評估與按醫囑/流程處理；教學不是此刻優先。","","",""
"pending","","","NGN005","ngn","question_bank_expansion_50.json","no","Which cues suggest fluid volume overload? Select all that apply.","哪些線索提示液體負荷過多？可多選。","A|B|C","Crackles, sudden weight gain and edema are consistent with fluid overload.","肺部 crackles、體重突然增加與水腫符合液體負荷過多。","","",""
"pending","","","NGN006","ngn","question_bank_expansion_50.json","no","Which findings indicate possible hypoglycemia? Select all that apply.","哪些發現提示可能低血糖？可多選。","A|B|C","Sweating, trembling and confusion are common hypoglycemia cues.","出汗、顫抖和混亂是常見低血糖線索。","","",""
"pending","","","OS001","osce_transition","question_bank_beta_20.json","no","Which phrase is most appropriate when escalating a concerning change in a client's condition?","當病人狀況出現令人擔心的變化，需要升級通報時，哪句話最合適？","C","Escalation should be specific, objective and linked to clinical concern.","升級通報應具體、客觀，並連到臨床風險。","","",""
"pending","","","OS002","osce_transition","question_bank_expansion_30.json","no","Which sentence best demonstrates patient identification before a procedure?","哪句話最能展現操作前確認病人身份？","B","Using two identifiers such as full name and date of birth supports patient safety before procedures.","使用全名與出生日期等兩項身份識別有助於操作前病人安全。","","",""
"pending","","","OS003","osce_transition","question_bank_expansion_30.json","no","Which phrase is best when explaining hand hygiene to a patient?","向病人解釋手部衛生時，哪句話最合適？","B","The phrase is clear, respectful and links the action to infection risk reduction.","此句清楚、尊重，並把行動連到降低感染風險。","","",""
"pending","","","OS004","osce_transition","question_bank_expansion_50.json","no","Which phrase best explains a pain assessment?","哪句話最能解釋疼痛評估？","B","The phrase is clear, patient-centered and clinically useful.","此句清楚、以病人為中心且具臨床用途。","","",""
"pending","","","OS005","osce_transition","question_bank_expansion_50.json","no","Which phrase best shows escalation using objective data?","哪句話最能用客觀資料做升級通報？","C","Objective vital-sign data makes escalation clearer and safer.","客觀生命徵象讓升級通報更清楚且安全。","","",""
"pending","","","OS006","osce_transition","question_bank_expansion_50.json","no","Which phrase best asks permission before assessment?","評估前哪句話最能表達徵求同意？","A","Permission and explanation support dignity, consent and OSCE communication.","徵求同意與解釋有助於尊嚴、同意與 OSCE 溝通。","","",""
"pending","","","PH001","pharmacology","question_bank_beta_20.json","no","A client taking warfarin reports black, tarry stools. Which action should the nurse take first?","服用 warfarin 的病人回報黑色柏油樣大便。護理師應先做什麼？","C","Black, tarry stools may indicate gastrointestinal bleeding, a serious risk with anticoagulant therapy.","黑色柏油樣便可能提示胃腸道出血，是抗凝治療的重要風險。","","",""
"pending","","","PH002","pharmacology","question_bank_beta_20.json","no","Which finding in a client receiving opioid analgesia requires immediate follow-up?","使用 opioid 止痛藥的病人，下列哪個發現需要立即追蹤？","A","Respiratory depression is a priority safety concern with opioids.","呼吸抑制是 opioid 的優先安全風險。","","",""
"pending","","","PH003","pharmacology","question_bank_beta_20.json","no","Which statement by a client taking an ACE inhibitor requires further teaching?","服用 ACE inhibitor 的病人哪句話表示需要進一步教學？","C","Some salt substitutes contain potassium, which can be risky with ACE inhibitors.","部分代鹽含鉀，ACE inhibitor 使用者需謹慎。","","",""
"pending","","","PH004","pharmacology","question_bank_expansion_30.json","no","Which assessment is most important before administering digoxin?","給 digoxin 前最重要的評估是什麼？","A","Digoxin can affect heart rate and rhythm. The apical pulse should be assessed before administration.","Digoxin 可影響心率與心律，給藥前需評估心尖脈。","","",""
"pending","","","PH005","pharmacology","question_bank_expansion_30.json","no","A client receiving heparin has a sudden severe headache and confusion. What is the nurse's priority?","使用 heparin 的病人突然嚴重頭痛並意識混亂。護理師優先處理是？","A","Severe headache and confusion may indicate serious bleeding, including intracranial bleeding, in a client receiving anticoagulation.","抗凝治療中嚴重頭痛和混亂可能提示嚴重出血，包括顱內出血。","","",""
"pending","","","PH006","pharmacology","question_bank_expansion_30.json","no","Which statement by a client taking prednisone requires further teaching?","服用 prednisone 的病人哪句話表示需要進一步教學？","B","Steroids should not be stopped abruptly without provider guidance due to adrenal suppression risk.","類固醇不應未經指示突然停用，因有腎上腺抑制風險。","","",""
"pending","","","P001","prioritization","question_bank_beta_20.json","no","The nurse receives reports on four clients. Which client should the nurse assess first?","護理師收到四位病人的情況回報。應先評估哪一位？","B","Furosemide can contribute to potassium loss. New muscle weakness may signal an electrolyte problem with cardiac risk.","Furosemide 可能造成鉀流失。新的肌肉無力可能提示電解質問題並帶有心律風險。","","",""
"pending","","","P002","prioritization","question_bank_beta_20.json","no","Which client should the nurse see first?","護理師應先看哪位病人？","A","A falling oxygen saturation is an immediate breathing concern and outranks teaching or comfort needs.","血氧下降屬於立即 breathing 風險，優先於教學或舒適需求。","","",""
"pending","","","P003","prioritization","question_bank_beta_20.json","no","A client 6 hours after thyroidectomy reports tingling around the mouth. What should the nurse do first?","甲狀腺切除術後 6 小時病人回報口周麻刺感。護理師應先做什麼？","B","Tingling after thyroidectomy may indicate hypocalcemia from parathyroid disruption and requires prompt assessment.","甲狀腺術後口周麻刺可能提示副甲狀腺受影響導致低血鈣，需要及時評估。","","",""
"pending","","","P004","prioritization","question_bank_expansion_30.json","no","Which client should the nurse assess first after receiving shift report?","交班後護理師應先評估哪位病人？","A","Accessory muscle use with low oxygen saturation indicates breathing distress and requires priority assessment.","血氧低且使用輔助呼吸肌提示呼吸窘迫，需要優先評估。","","",""
"pending","","","P005","prioritization","question_bank_expansion_30.json","no","A client with diabetes is confused, diaphoretic and trembling. What should the nurse do first?","糖尿病病人混亂、出汗、顫抖。護理師應先做什麼？","A","The cues suggest possible hypoglycemia. Assessment of blood glucose is the immediate priority.","這些線索提示可能低血糖，立即檢查血糖是優先行動。","","",""
"pending","","","P006","prioritization","question_bank_expansion_30.json","no","A client receiving a blood transfusion develops chills, fever and back pain. What is the priority action?","輸血中的病人出現寒顫、發燒和背痛。優先行動是？","B","These signs may indicate a transfusion reaction. Stop the transfusion and follow protocol.","這些徵象可能提示輸血反應，應停止輸血並按流程處理。","","",""
"pending","","","S001","safety_infection","question_bank_beta_20.json","no","Which action should the nurse take before administering medication to a client?","給藥前護理師應先做哪件事？","B","Medication safety requires two approved identifiers. Room number is not sufficient.","給藥安全需要兩項核准身份識別，房號不足以確認身份。","","",""
"pending","","","S002","safety_infection","question_bank_beta_20.json","no","A client is suspected of having tuberculosis. Which precaution should the nurse anticipate?","病人疑似結核病。護理師應預期哪種隔離措施？","C","Tuberculosis requires airborne precautions with appropriate respiratory protection.","結核病需要空氣隔離及適當呼吸防護。","","",""
"pending","","","S003","safety_infection","question_bank_expansion_30.json","no","Which client should be placed near the nurses' station for safety?","哪位病人基於安全考量應安排靠近護理站？","A","Confusion and repeated attempts to get out of bed increase fall risk and require safety planning.","混亂且反覆下床增加跌倒風險，需要安全安排。","","",""
"pending","","","S004","safety_infection","question_bank_expansion_30.json","no","A client with C. difficile infection is admitted. Which precaution is most appropriate?","C. difficile 感染病人入院。最合適的防護措施是？","A","C. difficile requires contact precautions; soap and water are important because spores are not reliably removed by alcohol hand rub alone.","C. difficile 需接觸隔離；孢子不能單靠酒精乾洗手可靠去除，肥皂水洗手重要。","","",""
"pending","","","S005","safety_infection","question_bank_expansion_30.json","no","Which action reduces aspiration risk for a client receiving enteral feeding?","哪項措施可降低管灌病人誤吸風險？","A","Elevating the head of bed helps reduce aspiration risk during enteral feeding.","抬高床頭有助於降低管灌時誤吸風險。","","",""
"pending","","","S006","safety_infection","question_bank_expansion_30.json","no","Which action is most important before transferring a client from bed to chair for the first time after surgery?","術後第一次協助病人從床移到椅子前，哪項最重要？","A","First transfer after surgery requires safety assessment to reduce fall and orthostatic risk.","術後第一次轉移需先做安全評估，以降低跌倒與姿勢性低血壓風險。","","",""
"pending","","","T001","test_strategy","question_bank_beta_20.json","no","A learner often changes correct answers to wrong answers without new evidence. Which strategy is best?","學員常在沒有新證據時把正確答案改成錯誤答案。最佳策略是？","C","Answer changes should be evidence-based, not anxiety-based.","改答案應基於證據，而不是焦慮。","","",""
"pending","","","T002","test_strategy","question_bank_expansion_30.json","no","A learner's wrong-answer log shows repeated 'English wording' mistakes. Which action is most useful?","學員錯題紀錄反覆出現 English wording 錯誤。哪項最有用？","B","Repeated wording mistakes need targeted command-phrase training, not only more random practice.","反覆題幹理解錯誤需要針對指令詞訓練，而不只是多做隨機題。","","",""
"pending","","","T003","test_strategy","question_bank_expansion_30.json","no","Which study behavior is most likely to improve clinical judgment consistency?","哪種學習行為最可能提升臨床判斷穩定性？","A","Error tagging reveals patterns and makes future review targeted.","錯因標記能揭示模式，讓後續複習更有針對性。","","",""
"pending","","","T004","test_strategy","question_bank_expansion_50.json","no","Which approach is best after missing multiple pharmacology questions?","連續錯多道藥理題後，哪種方法最好？","A","Class-based medication cards help organize purpose, risks, monitoring and teaching.","按類別整理藥卡有助於組織用途、風險、監測與教學。","","",""
"pending","","","T005","test_strategy","question_bank_expansion_50.json","no","Which behavior best supports timed-practice improvement?","哪種行為最能支持限時練習進步？","A","Understanding distractors improves reasoning and reduces repeat mistakes.","理解干擾選項能提升推理並減少重複錯誤。","","",""
"pending","","","T006","test_strategy","question_bank_expansion_50.json","no","Which review method is best for NGN case studies?","NGN case studies 最佳複習方法是？","A","NGN improvement depends on cue recognition and reasoning, not answer memorization only.","NGN 進步取決於線索辨識和推理，而不只是背答案。","","",""
"pending","","","MH001","therapeutic_communication","question_bank_beta_20.json","no","A client says, 'I cannot go on anymore. I have been thinking about ending my life.' Which response is best?","病人說：『我撐不下去了，一直在想結束生命。』最佳回應是？","B","Direct suicide risk assessment is required and therapeutic when safety is at risk.","有自殺意念時需要直接評估風險，這是安全且治療性的做法。","","",""
"pending","","","MH002","therapeutic_communication","question_bank_beta_20.json","no","A client with hallucinations says, 'The voices are telling me I am worthless.' Which response is best?","有幻聽的病人說：『那些聲音說我一文不值。』最佳回應是？","C","The response acknowledges the client's experience without arguing with the hallucination.","此回應承認病人的感受，但不與幻聽內容爭辯。","","",""
"pending","","","MH003","therapeutic_communication","question_bank_expansion_30.json","no","A client is crying after receiving a serious diagnosis. Which response is most therapeutic?","病人收到嚴重診斷後哭泣。哪個回應最具治療性？","C","The response acknowledges emotion and offers presence without false reassurance or changing the subject.","此回應承認情緒並提供陪伴，沒有虛假安慰或轉移話題。","","",""
"pending","","","MH004","therapeutic_communication","question_bank_expansion_30.json","no","A client with mania is pacing and speaking rapidly. Which nursing approach is best?","躁症病人來回踱步、語速很快。最佳護理方式是？","B","A calm, low-stimulation environment and brief directions support safety and communication.","安靜低刺激環境與簡短指令有助於安全與溝通。","","",""
"pending","","","MH005","therapeutic_communication","question_bank_expansion_30.json","no","A client says, 'No one understands how scared I am before surgery.' Which response is most therapeutic?","病人說：『沒有人理解我手術前有多害怕。』哪個回應最具治療性？","C","Open-ended exploration acknowledges fear and invites expression.","開放式探索承認恐懼並鼓勵表達。","","",""
"pending","","","MH006","therapeutic_communication","question_bank_expansion_50.json","no","A client says, 'I am angry that no one listens.' Which response is best?","病人說：『我很生氣，沒有人聽我說。』最佳回應是？","B","The response acknowledges emotion and invites expression.","此回應承認情緒並邀請表達。","","",""
